task_id,answer
k10408,A
rt02753,A
rt00738,C
k08745,A
k10825,B
k03141,3
k10152,D
rt07226,B
rt00337,C
k09430,A
rt00388,B
k00287,C
rt02889,A
k10424,Search
rt02012,B
k04195,B
k04530,M
rt00439,C
k09244,C
k00328,A
k00393,B
k09298,C
rt01267,C
k07024,C
rt05195,D
rt08264,B
rt01816,B
rt01807,B
k11035,B
k00646,B
rt01873,B
rt01704,B
rt03260,B
k11344,B
rt00575,C
rt08278,No
k11081,b
rt08067,No
k11047,C
k00155,B
rt04981,D
k00380,A
k08327,C
rt05768,C
rt01209,B
k07433,B
k10248,A
k00198,A
k06947,D
k00116,B
k10599,C
k03396,B
k06937,C
k10441,D
k01521,A
k11001,A
k05733,A
k10973,D
k10950,D
rt04123,C
rt01562,B
rt05514,B
rt01527,B
rt02231,A
k08897,B
k08928,D
rt00868,A
k09610,A
k05929,B
k11307,A
k11184,D
k01190,B
k07106,D
k06996,A
rt02228,C
k03357,B
rt03054,B
k00644,A
k05941,C
rt06139,C
k03452,A
k08642,B
rt01616,B
k08675,C
rt01026,C
k06582,A
rt00604,B
k07702,D
k07448,C
k09139,A
k00071,A
rt07670,No
rt02215,C
k02017,A
k03244,B
rt00820,C
rt01724,C
rt00512,C
k11255,B
k10822,A
k09409,B
k06589,B
rt03596,C
rt06808,B
k02009,C
rt00990,D
k03843,A
k11360,A
k09187,A
k03495,B
k00571,B
k00216,A
rt06620,C
k00117,B
k08761,B
k08848,Expl
k00560,B
k11381,C
rt02309,D
k08516,D
rt01084,C
rt01842,C
k10317,B
k07787,C
rt05397,No
k10463,A
k09888,B
k11352,D
k01358,C
rt03861,B
k08757,A
k00055,D
rt01497,C
k09490,C
k06606,A
k05429,A
k00359,C
rt01940,C
k00013,D
k10608,D
k11247,(
rt02233,A
k10476,B
k11032,C
k02265,B
rt07600,B
rt02257,D
k06367,D
rt06224,Time
k07080,B
rt05291,B
k10855,C
rt03911,C
k00348,A
k07740,B
k06393,C
rt01611,B
k11309,B
rt05015,No
k11502,A
k11264,C
k09052,C
k07421,A
k07542,C
k10714,B
rt00304,D
k10768,C
k07215,D
k10546,C
rt06257,A
k02743,B
rt03679,A
rt00749,B
rt02945,D
rt00637,C
k05630,D
k08498,B
k09439,B
k08227,A
rt06563,No
rt04196,B
rt01246,C
k09596,D
k07096,C
k10412,A
k01595,B
k10910,1
k00666,C
rt03234,D
k10583,B
rt01715,C
rt01364,C
rt05270,B
k03524,A
k04718,1
k09094,a
rt01879,B
rt02539,A
k06151,D
k10659,C
k08962,A
rt04495,C
rt02877,C
rt00799,C
k01869,C
k00495,B
rt05457,No
k01346,A
k10325,C
k10801,B
rt06809,D
k10989,A
rt06899,No
rt04994,C
k11075,A
k09398,D
k03430,C
rt07092,Time
k00523,C
k10278,D
k00149,B
k11169,C
k07747,A
k11366,D
rt00425,C
k10881,A
rt08235,A
rt06861,B
rt01900,D
rt02896,B
k11136,A
k07348,C
rt04406,No
k07344,B
rt07630,A
k09611,C
k02122,A
k10966,(
rt06805,B
k00246,Yes
k11093,A
rt01008,C
k11231,C
k07788,d
rt04233,B
k06777,C
k01702,C
k10602,A
rt00540,B
rt00869,D
rt00628,B
k08717,A
k07128,C
k11027,I
rt01288,B
k06949,C
rt04629,Time
k08242,C
k03454,A
k10145,A
k09606,C
rt00703,C
k01579,C
rt04512,A
k06981,C
k00819,C
k10140,B
rt00498,A
rt04284,B
k02243,A
rt03117,A
k09884,C
k07554,B
k10721,B
k06345,def
k02451,D
k03122,B
k00194,A
k08673,A
k01339,B
rt03479,D
rt00804,B
rt00819,A
k00995,A
rt03746,Time
k09554,C
k05787,B
k11326,C
rt03294,D
rt04200,C
rt01378,C
k08226,B
rt00574,B
rt06649,A
rt01270,C
k10869,A
k10876,A
k03604,A
rt03636,C
k09546,C
k02595,D
rt01699,B
k06448,B
rt03961,A
k00670,A
k11531,B
k07107,D
rt02334,D
k00547,B
rt01207,B
k10943,A
k05902,A
rt01881,C
rt01370,C
rt06963,C
rt04463,B
k00081,C
k06773,B
rt01314,C
rt01923,C
k07276,A
k06598,A
k08541,A
k09697,B
k07609,A
rt05113,B
k06412,B
k10930,B
rt01568,A
k01079,B
k00464,A
k05895,E
rt07244,C
k10730,B
rt00917,D
rt01176,D
rt01087,D
rt01552,D
k10182,C
k01516,C
rt03378,B
k02102,B
k00103,C
k01196,A
k10380,B
rt01040,C
k10634,C
rt00610,B
k10444,B
rt02554,A
rt05982,Time
rt01189,D
k03908,C
k00282,A
rt02073,B
k05435,B
k00044,B
rt02208,C
k09930,C
k08926,C
k01238,B
k10466,A
k11083,b
k10505,D
k04209,C
rt08221,No
k08645,B
k00592,B
rt08186,C
rt02503,C
k03472,B
rt00790,A
rt01584,C
rt00533,C
rt02034,D
k11465,B
k10264,A
k10639,A
k03412,A
rt01530,B
rt01086,B
rt00594,B
rt00983,A
k00513,C
k00518,C
rt02944,B
rt02059,C
k00767,C
k00511,C
k10584,A
k11245,(
k00590,A
rt01694,C
rt06232,B
k06994,B
rt02277,C
k07707,D
rt03701,A
k02566,C
k10676,D
k10874,A
k08432,C
k10171,D
rt03485,D
k11332,D
rt00885,B
k10002,A
k01861,B
k09584,A
rt03412,C
k04449,A
k08581,B
k10267,A
k10797,B
rt08083,No
rt01091,B
k10684,B
k00031,A
rt01285,D
rt02881,C
k09776,A
k06177,D
k00058,B
k07805,C
k11025,A
k10994,(A
k08721,D
k11439,A
rt01473,C
k10231,nothing
k08774,C
k10883,D
rt06691,C
k08244,1
rt02328,B
k02398,B
k00032,C
k09593,B
rt01698,C
rt08119,No
rt01962,B
rt05204,No
rt00538,C
rt07870,No
k08992,B
k11212,B
k10959,B
k00809,C
k06989,B
k10907,A
rt07496,B
rt03673,A
rt04505,D
k01522,B
k04919,B
k10601,B
k04095,C
rt01398,B
k00629,map
k10972,D
k08426,B
k06805,C
k10648,D
k05826,D
k08672,C
rt04782,B
rt06879,A
rt05031,No
k10377,D
k10296,B
k00797,B
k09078,A
rt02521,A
k10323,C
k09518,B
k03268,C
rt00515,B
rt06419,Time
rt02304,C
rt01101,C
k00227,A
k05218,C
k09562,C
rt01393,C
k06730,A
k05748,A
rt01989,B
k00329,C
rt00399,B
rt03459,B
rt02312,B
k00530,C
rt05482,C
k07213,C
k08706,B
k01582,B
k04601,C
k00413,A
k02413,A
rt01493,D
k00171,B
rt02711,B
k02801,A
rt04558,B
k11214,C
k11490,B
k10149,A
rt00991,B
k07548,C
rt01430,B
k10488,C
k03274,B
k02605,B
k06936,C
k00351,A
rt04053,A
k11361,C
k02198,A
k08616,C
rt00938,C
k08223,C
k02905,B
k11123,C
k03154,B
k10533,B
rt02840,C
k11399,B
k02608,C
rt00871,B
k06717,A
k11536,B
rt05249,No
k00649,C
rt05017,B
rt04978,A
k01253,B
k00430,A
k09991,A
rt01050,A
rt05156,No
k00080,C
k00143,B
rt00847,B
k05401,C
k09891,D
k01862,B
k10404,A
k03337,A
rt04768,A
rt00520,C
rt02826,C
k00154,D
k09812,D
k04486,A
k08358,B
k06965,B
k10747,A
k00151,A
k10074,D
k00072,A
k00434,B
rt06045,C
rt05219,C
rt03958,C
k04532,Hex
rt03249,D
k11041,B
k10017,B
k11213,A
k02385,C
k00105,D
k00427,D
rt01929,B
k08334,C
k09162,B
rt07813,C
rt04067,A
rt02903,B
k01510,B
k04294,A
k10867,D
k05595,B
rt00925,B
rt02087,B
k02683,B
k03097,B
k10745,C
rt02168,C
k00699,B
k08743,C
rt01874,C
k11170,(
k07772,C
k04240,C
k11187,C
k08412,C
k03040,B
k02984,C
k05399,A
k04175,A
k05249,A
rt07489,A
rt01739,A
k10713,A
k09117,D
rt07021,Time
k04049,C
k04719,A
k11019,C
k07172,D
k06094,B
rt03969,B
rt01737,D
rt05650,Time
rt01224,D
rt02035,B
k10133,A
k10254,A
k00041,A
k05559,C
k02941,A
k02015,D
rt00522,B
k09303,D
k10993,B
k09592,A
k00146,C
rt03103,C
rt01639,A
k00166,B
k09340,C
